DATE;spread;share_prices;EXPINF10YR;DFF;cpi
2007-06-18;0.71;93.17330266666667;2.65374843;5.23;0.06956421587746177
2007-06-19;0.72;93.201584;2.65268542;5.21;0.062256374596102754
2007-06-20;0.71;93.22986533333334;2.65162241;5.27;0.054948533314743746
2007-06-21;0.73;93.25814666666666;2.6505594;5.26;0.04764069203338473
2007-06-22;0.72;93.286428;2.64949639;5.24;0.040332850752025716
2007-06-25;0.71;93.371272;2.6463073599999998;5.29;0.018409326907948678
2007-06-26;0.73;93.39955333333333;2.64524435;5.25;0.011101485626589665
2007-06-27;0.71;93.42783466666667;2.64418134;5.26;0.003793644345230652
2007-06-28;0.70;93.456116;2.64311833;5.26;-0.0035141969361283613
2007-06-29;0.70;93.48439733333333;2.64205532;5.31;-0.010822038217487374
2007-07-02;0.71;93.37566096774194;2.6350869806451613;5.31;-0.03053296277789913
2007-07-03;0.70;93.21036193548387;2.6302446612903223;5.24;-0.03562820477559286
2007-07-05;0.68;92.87976387096774;2.620560022580645;5.25;-0.04581868877098032
2007-07-06;0.70;92.71446483870967;2.6157177032258065;5.22;-0.050913930768674044
2007-07-09;0.69;92.21856774193549;2.6011907451612903;5.22;-0.06619965676175524
2007-07-10;0.71;92.05326870967743;2.5963484258064518;5.24;-0.07129489875944896
2007-07-11;0.71;91.88796967741935;2.5915061064516127;5.24;-0.07639014075714269
2007-07-12;0.71;91.72267064516129;2.586663787096774;5.26;-0.08148538275483642
2007-07-13;0.71;91.55737161290322;2.5818214677419355;5.25;-0.08658062475253014
2007-07-16;0.70;91.06147451612904;2.5672945096774193;5.32;-0.10186635074561134
2007-07-17;0.71;90.89617548387096;2.5624521903225808;5.28;-0.10696159274330506
2007-07-18;0.70;90.7308764516129;2.557609870967742;5.26;-0.1120568347409988
2007-07-19;0.70;90.56557741935484;2.552767551612903;5.25;-0.11715207673869253
2007-07-20;0.73;90.40027838709678;2.5479252322580646;5.25;-0.12224731873638625
2007-07-23;0.72;89.90438129032258;2.5333982741935483;5.26;-0.13753304472946745
2007-07-24;0.75;89.73908225806451;2.5285559548387098;5.25;-0.14262828672716119
2007-07-25;0.74;89.57378322580645;2.523713635483871;5.32;-0.1477235287248549
2007-07-26;0.78;89.40848419354839;2.5188713161290326;5.28;-0.15281877072254862
2007-07-27;0.78;89.24318516129033;2.5140289967741936;5.25;-0.15791401272024236
2007-07-30;0.83;88.74728806451613;2.499502038709678;5.29;-0.17319973871332356
2007-07-31;0.84;88.58198903225806;2.4946597193548388;5.28;-0.17829498071101726
2007-08-01;0.85;88.41669;2.4898174;5.3;-0.183390222708711
2007-08-02;0.83;88.51581903225807;2.4872917322580648;5.24;-0.16858438518469152
2007-08-03;0.96;88.61494806451613;2.4847660645161294;5.24;-0.15377854766067203
2007-08-06;0.99;88.91233516129033;2.4771890612903227;5.26;-0.10936103508861357
